,EndTimeUTC,TCcounts,TCmass,TCconc,AE33_BC6,AE33_ValidData,AE33_b,OC,EC,CO2
0,2023-06-30 20:00:00,330.97,5705.92,5762.0,3529.0,93.0,1.0,2233.0,3529.0,420.25
1,2023-06-30 21:00:00,366.88,6280.97,6344.0,4198.0,100.0,1.0,2146.0,4198.0,413.5
2,2023-06-30 22:00:00,370.58,6388.78,6450.0,3737.0,100.0,1.0,2713.0,3737.0,407.77
3,2023-06-30 23:00:00,286.39,4902.95,4955.0,2470.0,100.0,1.0,2485.0,2470.0,396.22
4,2023-07-01 00:00:00,266.18,4588.98,4637.0,1754.0,100.0,1.0,2883.0,1754.0,391.66
5,2023-07-01 01:00:00,225.99,3869.03,3909.0,1025.0,100.0,1.0,2884.0,1025.0,382.4
6,2023-07-01 02:00:00,216.71,3736.06,3774.0,791.0,100.0,1.0,2983.0,791.0,382.41
7,2023-07-01 03:00:00,218.04,3732.88,3769.0,787.0,100.0,1.0,2982.0,787.0,376.46
8,2023-07-01 04:00:00,232.55,4009.22,4048.0,749.0,100.0,1.0,3299.0,749.0,377.06
9,2023-07-01 05:00:00,225.12,3854.03,3893.0,743.0,100.0,1.0,3150.0,743.0,369.42
10,2023-07-01 06:00:00,234.66,4045.58,4085.0,774.0,100.0,1.0,3311.0,774.0,368.62
11,2023-07-01 07:00:00,239.87,4106.53,4147.0,756.0,100.0,1.0,3391.0,756.0,361.53
12,2023-07-01 08:00:00,227.61,3924.03,3962.0,605.0,100.0,1.0,3357.0,605.0,359.94
13,2023-07-01 09:00:00,242.57,4152.76,4192.0,498.0,93.0,1.0,3694.0,498.0,356.79
14,2023-07-01 10:00:00,249.45,4300.44,4341.0,611.0,100.0,1.0,3730.0,611.0,357.11
15,2023-07-01 11:00:00,241.02,4126.21,4166.0,483.0,100.0,1.0,3683.0,483.0,354.96
16,2023-07-01 12:00:00,249.74,4305.54,4350.0,479.0,100.0,1.0,3871.0,479.0,355.71
17,2023-07-01 13:00:00,245.49,4202.79,4241.0,543.0,100.0,1.0,3698.0,543.0,353.98
18,2023-07-01 14:00:00,244.98,4223.52,4265.0,600.0,100.0,1.0,3665.0,600.0,354.39
19,2023-07-01 15:00:00,261.11,4470.2,4515.0,516.0,100.0,1.0,3999.0,516.0,353.57
20,2023-07-01 16:00:00,422.25,7279.58,7357.0,738.0,100.0,1.0,6619.0,738.0,355.82
21,2023-07-01 17:00:00,248.8,4259.44,4300.0,1033.0,100.0,1.0,3267.0,1033.0,356.33
22,2023-07-01 18:00:00,269.95,4653.87,4698.0,1267.0,100.0,1.0,3431.0,1267.0,359.65
23,2023-07-01 19:00:00,235.47,4031.18,4066.0,804.0,100.0,1.0,3262.0,804.0,360.79
24,2023-07-01 20:00:00,239.9,4135.83,4179.0,795.0,100.0,1.0,3384.0,795.0,367.64
25,2023-07-01 21:00:00,239.54,4100.93,4139.0,1056.0,100.0,1.0,3083.0,1056.0,368.51
26,2023-07-01 22:00:00,262.68,4528.61,4574.0,1057.0,100.0,1.0,3517.0,1057.0,371.49
27,2023-07-01 23:00:00,261.82,4482.32,4525.0,968.0,100.0,1.0,3557.0,968.0,372.79
28,2023-07-02 00:00:00,272.61,4699.81,4746.0,1069.0,100.0,1.0,3677.0,1069.0,377.98
29,2023-07-02 01:00:00,246.65,4222.65,4260.0,740.0,100.0,1.0,3520.0,740.0,379.55
30,2023-07-02 02:00:00,263.86,4549.01,4591.0,1329.0,100.0,1.0,3262.0,1329.0,381.63
31,2023-07-02 03:00:00,224.85,3849.4,3885.0,849.0,100.0,1.0,3036.0,849.0,379.99
32,2023-07-02 04:00:00,188.37,3247.5,3279.0,422.0,100.0,1.0,2857.0,422.0,381.1
33,2023-07-02 05:00:00,243.47,4168.28,4207.0,477.0,100.0,1.0,3730.0,477.0,376.95
34,2023-07-02 06:00:00,221.29,3815.06,3850.0,528.0,100.0,1.0,3322.0,528.0,373.97
35,2023-07-02 07:00:00,209.74,3590.69,3623.0,485.0,100.0,1.0,3138.0,485.0,368.15
36,2023-07-02 08:00:00,187.41,3230.93,3267.0,445.0,93.0,1.0,2822.0,445.0,365.92
37,2023-07-02 09:00:00,194.52,3330.17,3360.0,435.0,100.0,1.0,2925.0,435.0,361.52
38,2023-07-02 10:00:00,209.87,3618.12,3655.0,436.0,100.0,1.0,3219.0,436.0,361.18
39,2023-07-02 11:00:00,201.23,3445.04,3478.0,423.0,100.0,1.0,3055.0,423.0,359.97
40,2023-07-02 12:00:00,207.69,3580.62,3618.0,354.0,100.0,1.0,3264.0,354.0,360.4
41,2023-07-02 13:00:00,214.95,3679.88,3714.0,443.0,100.0,1.0,3271.0,443.0,358.44
