,datetime,CH4,CO,NO,NO2,OZ,PM10,PM2.5,SO2
0,2023-09-01 00:00:00,1.44,0.3,0.0,0.053,0.0429,0.039,0.018,
1,2023-09-01 01:00:00,1.44,0.3,0.0,0.048,0.0384,0.04,0.018,
2,2023-09-01 02:00:00,1.45,0.3,0.0,0.046,0.0348,0.039,0.018,
3,2023-09-01 03:00:00,1.47,0.2,0.0,0.039,0.035,0.033,0.018,
4,2023-09-01 04:00:00,1.48,0.2,0.0,0.041,0.0252,0.031,0.018,
5,2023-09-01 05:00:00,1.48,0.2,0.0,0.04,0.0216,0.03,0.017,
6,2023-09-01 06:00:00,1.51,0.27,0.001,0.049,0.0093,0.032,0.018,
7,2023-09-01 07:00:00,1.53,0.3,0.007,0.052,0.0119,0.04,0.02,
8,2023-09-01 08:00:00,1.53,0.4,0.012,0.054,0.0224,0.065,0.039,
9,2023-09-01 09:00:00,1.53,0.47,0.025,0.063,0.0204,0.059,0.026,
10,2023-09-01 10:00:00,1.48,0.5,0.028,0.068,0.0256,0.047,0.022,
11,2023-09-01 11:00:00,1.43,0.4,0.015,0.053,0.0499,0.037,0.016,
12,2023-09-01 12:00:00,1.41,0.3,0.005,0.032,0.0798,0.035,0.013,
13,2023-09-01 13:00:00,1.39,0.27,0.001,0.022,0.1144,0.035,0.012,
14,2023-09-01 14:00:00,1.37,0.2,0.001,0.017,0.1215,0.03,0.012,
15,2023-09-01 15:00:00,1.36,0.1,0.0,0.015,0.1259,0.024,0.011,
16,2023-09-01 16:00:00,1.36,0.1,0.0,0.015,0.127,0.023,0.011,
17,2023-09-01 17:00:00,1.36,0.1,0.0,0.019,0.118,0.027,0.01,
18,2023-09-01 18:00:00,1.27,0.0,0.0,0.023,0.1095,0.0,0.0,
19,2023-09-01 00:00:00,1.44,,0.0,0.053,0.0429,0.039,0.018,
20,2023-09-01 01:00:00,1.44,,0.0,0.048,0.0384,0.04,0.018,
21,2023-09-01 02:00:00,1.45,,0.0,0.046,0.0348,0.039,0.018,
22,2023-09-01 03:00:00,1.47,,0.0,0.039,0.035,0.033,0.018,
23,2023-09-01 04:00:00,1.48,,0.0,0.041,0.0252,0.031,0.018,
24,2023-09-01 05:00:00,1.48,,0.0,0.04,0.0216,0.03,0.017,
